,id,topic
0,0,lipopolysaccharid
1,1,pharmaceut
2,2,epidem
3,3,influenza
4,4,fluenza
5,5,newyorktimesneediestcasesfund
6,6,medicineandhealth
7,7,virus
8,8,h1n1
9,9,china
10,10,viralinfluenza
11,11,proinflammatorycytokin
12,12,immunesystem
13,13,scienceandtechnolog
14,14,chloroquin
15,15,remdesivir
16,16,drugs(pharmaceuticals)
17,17,
18,18,surveysandtest
19,19,urt
20,20,lockout
21,21,osteoporosi
22,22,cancer
23,23,diet
24,24,research
25,25,unitedstateseconomi
26,26,mers-cov
27,27,biologicalandchemicalwarfar
28,28,dynamitin
29,29,vaccinesimmun
30,30,ppandem
31,31,hospit
32,32,rna
33,33,biologyandbiochemistri
34,34,southafrica
35,35,mer
36,36,r0
37,37,pandem
38,38,antiviralimmun
39,39,rig-i
40,40,ddx60
41,41,sar
42,42,sars-cov
43,43,npa
44,44,fatal
45,45,casualti
46,46,familiesandfamilylif
47,47,viru
48,48,ncov
49,49,who
50,50,microbiolog
51,51,bacteria
52,52,popul
53,53,airpollut
54,54,airport
55,55,pneumonia
56,56,childrenandyouth
57,57,dna
58,58,pcr
59,59,sars-cov-2
60,60,covid(computervideorecordings)
61,61,ebolaviru
62,62,losangelesinternationalairport
63,63,losangel
64,64,carrageenan
65,65,airlinesandairplan
66,66,booksandliteratur
67,67,hadv-55
68,68,testsandtest
69,69,electron
70,70,e1-a226v
71,71,kochcharl
72,72,cdc
73,73,bat
74,74,liv
75,75,tiv
76,76,ifv
77,77,pre-existingcondit
78,78,geneticsandhered
79,79,hmpv
80,80,chikv
81,81,nationalaeronauticsandspaceadministr
82,82,pregnanc
83,83,anim
84,84,insect
85,85,clodstridiumdifficil
86,86,ebola
87,87,healthinsuranceandmanagedcar
88,88,vector
89,89,indianocean
90,90,universalprimer-pcr
91,91,hepcidin
92,92,zoonot
93,93,malat1
94,94,coronaviru
95,95,oxygen
96,96,surveillanceandintelligenceag
97,97,nsa
98,98,policebrut
99,99,policemisconduct
100,100,policeshoot
101,101,covid-19ctscann
102,102,chemicalsandtoxicsubst
103,103,sheep
104,104,livestock
105,105,humaninfluenza
106,106,veereplicon
107,107,vee
108,108,model
109,109,fashion
110,110,lung
111,111,rti
112,112,riskfactor
113,113,newsmedia
114,114,journal
115,115,dataminingandbigdata
116,116,useconomi
117,117,spain
118,118,hairpin
119,119,carageenan
120,120,zanamivir
121,121,hcv
122,122,arginin
123,123,test
124,124,internationalrel
125,125,deaths(fatalities)
126,126,humanitarianaid
127,127,cruis
128,128,diamondprincess
129,129,computersandtheinternet
130,130,softwar
131,131,diseas
132,132,socialmedia
133,133,collegebasketbal
134,134,clade
135,135,h(+)-atpas
136,136,vacuum
137,137,amoygarden
138,138,itali
139,139,terror
140,140,bacillussubtili
141,141,infect
142,142,sars(sars)
143,143,economicconditionsandtrend
144,144,nuclearenergi
145,145,nuclearweapon
146,146,simul
147,147,hetesim
148,148,baculoviru
149,149,hantaviru
150,150,rsv
151,151,hantavirus
152,152,rpcr
153,153,realtimepcr
154,154,protein
155,155,dataminingandmin
156,156,brain
157,157,assay
158,158,calv
159,159,oil(petroleum)andgasolin
160,160,livimmun
161,161,coronavirus
162,162,ccoronaviru
163,163,fraudsandswindl
164,164,mersviralload
165,165,serial
166,166,archaeologyandanthropolog
167,167,fossil
168,168,neuro-fuzzyinferencesystem(anfis)
169,169,virusesandvirus
170,170,laiv
171,171,hepat
172,172,chestct
173,173,mucu
174,174,children
175,175,mentalhealthanddisord
176,176,iv
177,177,murdersandattemptedmurd
178,178,thailand
179,179,japan
180,180,airway
181,181,inflammatorybowel
182,182,palmcivetsar
183,183,evolut
184,184,respiratorysyncytialviru
185,185,gfp
186,186,sarsviru
187,187,mice
188,188,cystein
189,189,iitm3
190,190,spallutoet
191,191,hepatitisc
192,192,antibiot
193,193,pneumolysin
194,194,humanadenoviru
195,195,glycyrrhizin
196,196,hivr
197,197,hiv
198,198,c-cchemokinereceptor
199,199,hiv-1
200,200,radiat
201,201,coxiellaburnetii
202,202,parp-1
203,203,latrin
204,204,domesticviol
205,205,womenandgirl
206,206,wirelesscommun
207,207,cabletelevis
208,208,covid19(currency)
209,209,swineinfluenza
210,210,weather
211,211,educationandschool
212,212,mammarenavirus
213,213,reunionisland(nyc)
214,214,recessionanddepress
215,215,africa
216,216,milk
217,217,qrt-pcr
218,218,s-palmitoyl
219,219,vaccineimmun
220,220,unitedkingdom
221,221,music
222,222,antibodi
223,223,h7n9
224,224,belgium
